移动组播,#genre# 
重庆新闻,http://192.168.101.1:8888/udp/239.253.112.2:9000
重庆社会与法,http://192.168.101.1:8888/udp/239.253.112.4:9000
重庆新农村,http://192.168.101.1:8888/udp/239.253.112.7:9000
重庆时尚,http://192.168.101.1:8888/udp/239.253.112.5:9000
重庆娱乐,http://192.168.101.1:8888/udp/239.253.112.6:9000
重庆影视,http://192.168.101.1:8888/udp/239.253.112.3:9000
重庆少儿,http://192.168.101.1:8888/udp/239.253.112.8:9000
重庆科教,http://192.168.101.1:8888/udp/239.253.112.9:9000
重庆汽摩,http://192.168.101.1:8888/udp/239.253.112.11:9000
CCTV-1综合,http://192.168.101.1:8888/udp/239.253.112.17:9000
CCTV-2财经,http://192.168.101.1:8888/udp/239.253.112.18:9000
CCTV-3综艺,http://192.168.101.1:8888/udp/239.253.112.19:9000
CCTV-4中文国际,http://192.168.101.1:8888/udp/239.253.112.20:9000
CCTV-5体育,http://192.168.101.1:8888/udp/239.253.112.21:9000
CCTV5+体育赛事,http://192.168.101.1:8888/udp/239.253.112.73:9000
CCTV-6电影,http://192.168.101.1:8888/udp/239.253.112.22:9000
CCTV-7军事农业,http://192.168.101.1:8888/udp/239.253.112.23:9000
CCTV-8电视剧,http://192.168.101.1:8888/udp/239.253.112.24:9000
CCTV-9纪录,http://192.168.101.1:8888/udp/239.253.112.25:9000
纪实频道,http://192.168.101.1:8888/udp/239.253.112.72:9000
CCTV-10科教,http://192.168.101.1:8888/udp/239.253.112.26:9000
CCTV-11戏曲,http://192.168.101.1:8888/udp/239.253.112.78:9000
CCTV-12社会与法,http://192.168.101.1:8888/udp/239.253.112.27:9000
CCTV-13新闻,http://39.136.18.76/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225748/1/index.m3u8?fmt=ts2hls
CCTV-4K,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-14少儿,http://192.168.101.1:8888/udp/239.253.112.29:9000
CCTV-15音乐,http://192.168.101.1:8888/udp/239.253.112.30:9000
CCTV-16,http://39.134.2.22:6610/000000001666/100000000100111091/1.m3u8?IASHttpSessionId=OTT
CCTV-16-4khttp://39.134.2.22:6610/000000001666/100000000100111092/1.m3u8?IASHttpSessionId=OTT
重庆卫视,http://192.168.101.1:8888/udp/239.253.112.1:9000
东南卫视,http://192.168.101.1:8888/udp/239.253.112.54:9000
江苏卫视,http://192.168.101.1:8888/udp/239.253.112.36:9000
浙江卫视,http://192.168.101.1:8888/udp/239.253.112.37:9000
上海卫视,http://192.168.101.1:8888/udp/239.253.112.38:9000
